univ_rank,first_initial,last_initial,cit_2017,cit_2018,cit_2019,cit_2020,cit_2021,cit_2022,h_index,i_10_index
71,E,A,104,99,104,90,70,65,18,26
71,K,D,64,75,63,47,59,47,23,32
71,M,B,840,699,668,576,631,613,45,86
71,A,B,43,57,80,92,81,81,13,13
71,M,A,8,60,31,102,134,202,11,11
71,P,A,17,26,13,6,19,42,17,37
71,M,H,16,31,51,74,104,98,12,14
71,R,H,276,281,321,312,371,328,38,91
71,T,K,427,469,435,344,338,312,27,59
71,S,F,56,36,49,41,40,41,10,10
72,G,B,3,27,87,167,149,200,16,22
72,A,B,1156,1144,1101,1123,1049,1012,33,72
72,S,L,171,197,265,298,310,289,20,34
72,H,W,4,2,10,6,14,27,5,4
72,F,L,162,159,164,162,161,180,16,27
72,S,G,41,59,60,91,91,156,13,15
72,V,A,62,93,129,135,159,221,16,23
72,A,J,14,62,81,85,103,118,10,11
72,D,C,2754,2957,2875,3102,2902,2933,85,334
72,Z,D,49,45,28,42,27,21,7,5
73,N,N,11,10,15,20,7,6,6,2
73,A,T,164,201,247,255,271,285,26,55
73,Y,X,19,26,28,22,21,43,9,9
73,M,A,78,108,110,137,235,269,21,36
73,S,B,229,235,262,273,296,280,37,99
73,W,G,406,577,629,572,657,666,31,47
73,R,C,77,71,91,96,139,163,24,41
73,D,D,21,34,72,94,137,129,12,14
73,P,G,605,598,627,727,918,976,42,122
73,K,F,101,204,282,344,493,479,27,54
74,N,K,44,56,53,74,60,115,10,12
74,C,A,516,534,510,625,614,638,24,49
74,A,B,934,985,1086,1272,1298,1279,30,61
74,B,D,741,885,1030,986,996,861,23,56
74,S,G,212,155,130,108,123,129,15,27
74,S,P,98,117,73,134,62,71,13,15
74,A,J,157,147,153,106,145,124,13,19
74,Y,M,299,337,405,307,257,260,24,46
74,N,B,67,86,103,107,153,103,15,18
74,J,M,63,48,43,41,37,53,8,7
75,S,E,1094,1075,1146,1032,1112,986,36,72
75,S,D,186,151,171,229,212,188,22,74
75,D,C,444,642,833,902,927,911,38,106
75,Q,C,537,466,364,287,235,202,29,50
75,B,B,630,654,791,835,773,709,46,149
75,M,B,44,54,77,94,109,85,26,45
75,H,B,382,460,556,503,561,685,30,66
75,A,A,150,322,318,300,310,331,21,37
75,H,A,137,188,197,230,312,446,28,68
75,L,T,2654,2715,2685,2800,2682,2374,93,384
76, M, M,132,79,118,125,117,117,30,60
76, S, A,177,168,175,171,163,163,22,42
76, M, B,212,183,227,211,190,227,38,93
76, S, C,67,163,255,384,553,683,19,24
76, Z, D,99,83,79,78,57,88,23,43
76, G, F,76,77,96,161,138,164,22,32
76, M, G,82,107,58,83,83,94,18,23
76, V, H,267,284,235,249,261,269,18,23
76, X, L,213,222,277,290,373,374,33,81
76, S, H,211,205,244,265,282,346,23,38
77,B,W,79,117,119,155,193,155,18,26
77,T,W,104,119,183,290,320,442,27,64
77,I,B,225,286,287,288,214,267,34,80
77,D,Y,930,1114,1236,1163,1184,1056,38,85
77,G,F,112,191,233,235,298,366,23,29
77,N,D,62,108,117,147,163,173,15,21
77,M,B,27,34,50,73,72,49,10,11
77,D,C,195,226,161,204,183,195,17,23
77,G,L,88,144,150,226,289,338,16,20
77,C,Y,88,97,103,108,151,174,21,36
78,M,B,289,309,458,584,733,907,20,32
78,G,C,275,293,245,253,220,228,30,46
78,F,D,0,2,6,9,13,15,4,1
78,B,G,156,183,191,166,267,256,25,51
78,I,R,806,657,543,441,404,392,46,95
78,N,S,36,42,67,34,45,62,11,11
78,X,S,455,470,450,416,311,345,46,179
78,P,W,467,427,393,420,336,268,55,130
78,B,W,38,110,184,334,532,668,23,35
78,K,S,45,279,799,1559,2155,2800,36,59
79,H,Y,23,44,150,182,255,268,11,11
79,S,P,34,44,60,59,38,67,10,12
79,A,T,14,20,23,69,114,107,7,5
79,V,N,39,48,33,36,43,38,10,10
79,S,M,313,309,256,310,306,279,19,42
79,C,S,28,34,34,16,33,33,7,5
79,M,G,4,2,3,7,4,3,2,1
79,S,D,2293,2249,2193,2218,2152,2094,52,273
79,A,B,13,5,8,8,12,9,5,4
79,T,L,336,360,337,321,298,289,20,35
80,K,D,115,125,130,119,138,173,21,33
80,R,A,0,0,5,22,63,121,6,6
80,E,B,246,212,201,146,134,103,17,22
80,N,A,6,5,37,41,39,39,8,7
80,C,H,768,791,712,721,687,746,41,81
80,M,B,442,443,404,355,385,333,33,55
80,V,C,1307,1557,1814,1958,1926,1827,25,39
80,M,D,493,520,450,474,412,338,39,79
80,S,B,37,30,51,53,67,53,11,12
80,Z,C,0,2,10,34,103,156,10,10
