univ_rank,first_initial,last_initial,cit_2017,cit_2018,cit_2019,cit_2020,cit_2021,cit_2022,h_index,i_10_index
31,S,E,7,22,51,70,108,137,9,8
31,A,K,3,7,15,97,119,133,8,7
31,L,M,939,888,794,843,840,755,59,121
31,J,K,46,76,75,67,59,58,19,28
31,P,D,129,151,108,95,85,85,32,70
31,G,B,140,193,209,259,518,930,19,22
31,B,B,3,11,15,30,41,83,7,7
31,R,A,476,561,533,701,583,711,48,96
31,S,C,93,125,175,266,280,365,19,27
31,S,A,9,5,1,15,21,16,3,1
32,R,H,423,171,215,133,42,14,23,36
32,J,G,361,136,40,249,30,3,51,112
32,T,D,36,88,358,86,22,4,34,62
32,V,C,6,82,29,0,4,1,5,3
32,Y,C,25,6,85,49,11,9,25,65
32,J,C,159,42,30,35,6,9,50,164
32,T,I,1202,497,460,199,72,91,61,155
32,T,H,236,257,510,95,63,48,33,115
32,R,G,125,400,266,35,82,52,44,144
32,J,H,208,386,71,127,56,13,23,40
33,P,M,259,248,177,149,167,151,44,119
33,M,A,482,744,941,1128,1439,2451,21,31
33,A,E,158,137,124,117,142,158,27,48
33,W,B,701,683,773,813,1023,1039,63,219
33,V,B,164,262,301,367,588,601,29,43
33,Z,C,90,83,107,94,131,262,22,37
33,B,C,861,886,715,699,657,601,55,162
33,E,D,18,27,62,87,107,139,12,13
33,R,E,197,221,230,247,254,209,27,56
33,M,G,252,602,931,1302,1690,1853,22,41
34,K,H,40,69,120,187,208,249,21,31
34,K,M,65,35,60,100,88,120,14,23
34,N,C,3,3,21,54,72,124,10,10
34,V,B,167,271,354,458,703,859,30,71
34,V,Y,91,124,157,204,281,280,13,14
34,D,S,170,185,176,230,255,276,32,63
34,T,P,0,26,38,108,207,287,17,24
34,V,U,34,69,84,120,145,178,14,15
34,M,A,12,20,31,55,35,45,6,6
34,A,S,92,107,137,92,98,121,13,18
35,M,B,215,120,132,145,133,121,25,33
35,J,D,823,723,794,795,762,682,56,182
35,W,C,292,510,672,928,1289,1456,30,52
35,J,C,247,323,463,540,656,705,28,54
35,R,C,87,92,87,73,93,93,31,55
35,S,B,192,224,170,193,167,145,14,18
35,H,G,125,143,190,234,291,275,24,42
35,Z,G,8,16,6,11,30,37,8,7
35,P,H,34,38,72,81,93,96,15,19
35,R,B,173,245,359,540,611,701,22,34
36,Y,C,969,1225,1540,1931,2328,2843,68,220
36,C,G,387,382,441,413,369,345,42,108
36,K,A,256,311,384,328,312,344,29,65
36,S,B,1194,1292,1151,947,1049,1004,74,206
36,I,B,1343,1523,1546,1446,1338,1204,38,59
36,M,B,3547,3795,3723,3368,3246,2764,50,94
36,J,B,415,433,398,367,390,341,36,61
36,R,C,400,547,477,502,515,483,44,124
36,P,C,893,981,840,664,606,547,37,66
36,R,G,291,396,374,502,552,560,32,60
37,T,S,691,672,576,559,585,535,50,119
37,C,K,3680,3957,3764,3472,3386,3030,112,248
37,T,H,1110,1221,1283,1220,1096,1098,61,198
37,T,G,48,63,56,58,52,85,11,11
37,S,C,383,768,1273,1683,2255,2613,52,95
37,T,B,320,297,271,339,228,199,45,114
37,M,B,48,103,116,154,175,257,17,21
37,J,B,33,43,60,106,140,149,11,12
37,P,A,192,206,189,208,213,253,23,36
37,M,S,42,93,129,119,183,240,17,28
38,A,D,255,238,204,194,184,155,24,43
38,K,B,223,317,368,430,632,541,36,104
38,C,B,153,206,311,391,478,533,26,54
38,J,F,100,109,170,169,148,184,17,23
38,E,J,64,51,61,108,132,187,16,23
38,A,B,105,127,80,95,91,84,21,31
38,L,A,249,236,232,299,259,289,26,51
38,K,B,423,536,531,477,580,543,39,76
38,V,B,71,183,258,347,321,398,16,17
38,S,C,61,81,158,175,177,164,17,32
39,R,C,234,222,216,165,169,149,48,117
39,B,A,23,25,45,67,131,149,12,12
39,Y,C,27,47,95,127,155,143,12,15
39,A,C,628,766,1032,1146,1652,2043,53,91
39,H,D,1761,1963,2169,2398,3070,3287,70,178
39,L,D,35,47,97,204,291,305,19,29
39,H,E,511,571,567,519,511,489,42,89
39,T,G,949,1219,1606,2148,2970,4071,58,153
39,J,A,593,591,666,729,789,843,80,154
39,D,A,1687,1757,1438,1334,1179,1029,53,71
40,H,D,114,177,165,168,191,169,28,57
40,J,C,244,256,203,228,202,171,24,46
40,G,A,1230,1205,1304,1259,1264,1250,63,183
40,A,A,2,3,8,23,101,194,9,9
40,C,B,437,443,425,462,603,1054,51,183
40,R,B,48,54,40,45,43,40,19,29
40,R,A,532,535,497,547,504,505,32,52
40,T,B,36,52,57,82,152,222,13,15
40,H,B,242,299,346,357,423,496,30,70
40,Z,C,7,10,36,81,127,147,11,12
