univ_rank,first_initial,last_initial,cit_2017,cit_2018,cit_2019,cit_2020,cit_2021,cit_2022,h_index,i_10_index
11,L,C,346,297,274,255,262,315,22,34
11,R,G,218,178,263,333,392,424,23,31
11,L,G,741,660,672,651,638,612,57,102
11,J,A,34,70,96,124,201,284,14,16
11,P,B,2617,2492,2185,1798,1753,1468,62,104
11,D,B,9863,11144,11824,12303,12944,12698,104,226
11,A,B,444,559,564,672,736,721,36,63
11,L,C,617,552,554,530,589,652,50,141
11,A,C,557,498,435,394,417,423,34,56
11,S,F,1831,2083,2103,2022,1905,1864,83,229
12,K,D,427,570,794,963,1095,1009,45,117
12,M,D,107,112,133,161,195,176,22,35
12,R,A,500,692,892,1110,1214,1148,36,66
12,J,E,1078,1105,1196,1305,1314,1313,57,128
12,A,F,4,5,27,53,108,165,11,11
12,S,G,88,95,86,85,105,96,10,10
12,M,G,1221,1502,1580,1586,1604,1630,42,66
12,A,J,385,464,408,477,518,560,34,59
12,V,B,167,271,354,458,703,859,30,71
12,Y,C,144,269,357,415,563,693,24,35
13,R,M,242,305,309,328,348,405,30,50
13,S,L,1266,1170,988,802,705,559,67,139
13,C,H,1745,2008,2701,3606,4854,6157,73,168
13,Q,G,957,1141,1446,1964,2802,3508,58,169
13,A,G,333,901,1619,2167,2760,3525,28,39
13,A,D,922,875,851,1108,1217,1145,64,158
13,J,C,518,517,479,422,387,369,45,105
13,B,M,163,199,288,299,364,501,19,24
13,O,A,108,189,227,295,313,343,24,33
13,K,C,1467,1616,2059,2581,3629,4932,51,132
14,A,G,80,130,145,238,315,398,23,31
14,M,A,921,995,821,713,739,800,60,141
14,T,A,1318,1194,1115,979,972,885,63,146
14,N,B,611,617,613,670,688,784,53,136
14,V,B,448,408,390,323,317,286,44,108
14,G,B,36,59,62,96,148,154,15,17
14,P,C,785,776,762,758,637,461,54,73
14,R,D,365,388,514,612,629,669,35,61
14,B,F,32,43,52,90,83,90,11,11
14,P,G,126,169,251,313,347,323,18,19
15,M,B,24,71,121,137,109,128,12,12
15,N,B,318,388,406,436,406,438,30,39
15,A,B,14,11,39,164,195,166,11,13
15,A,G,815,780,839,968,1005,1111,60,171
15,A,M,174,194,173,162,168,157,26,40
15,T,W,152,149,121,148,136,141,28,46
15,L,P,181,342,528,722,1127,1438,31,42
15,G,K,140,106,79,108,91,56,9,9
15,D,G,164,113,114,70,79,82,33,66
15,S,C,2214,3200,3722,4111,4462,4429,35,46
16,E,A,10,15,19,42,53,66,7,7
16,N,H,290,225,204,155,154,214,26,43
16,K,H,523,405,483,815,904,717,55,135
16,L,H,38,57,46,47,48,22,21,39
16,C,R,120,97,126,102,58,87,26,47
16,M,R,351,420,436,367,392,427,22,32
16,U,W,1728,1947,2056,2452,2359,2423,67,176
16,O,C,193,260,364,361,495,549,33,76
16,J,G,58,66,85,93,83,116,20,34
16,L,B,403,288,377,744,779,692,53,122
17,B,M,719,632,747,937,1014,1106,51,112
17,A,D,1738,1907,2082,2243,2208,1917,70,133
17,G,D,1246,1240,1093,1024,1035,1032,82,249
17,F,M,6541,6390,6523,6183,6008,5604,148,588
17,C,K,209,303,352,392,512,583,31,40
17,C,V,829,928,1068,958,1085,1128,64,170
17,C,T,1264,2753,4720,7030,9832,11916,36,53
17,B,G,1046,959,1062,1107,1150,1054,64,160
17,B,N,182,199,229,285,313,435,25,39
17,A,U,287,303,285,206,248,211,34,74
18,S,T,20,30,40,50,60,70,80,90
18,Q,R,19,29,39,49,59,69,79,89
18,O,P,18,28,38,48,58,68,78,88
18,M,N,17,27,37,47,57,67,77,87
18,K,L,16,26,36,46,56,66,76,86
18,G,H,14,24,34,44,54,64,74,84
18,E,F,13,23,33,43,53,63,73,83
18,C,D,12,22,32,42,52,62,72,82
18,I,J,15,25,35,45,55,65,75,85
18,A,B,11,21,31,41,51,61,71,81
19,S,C,378,461,546,731,810,855,37,66
19,E,C,99,277,604,920,1196,1404,24,30
19,V,C,154,156,240,321,486,449,23,34
19,S,C,133,119,108,84,90,75,37,54
19,S,A,918,1084,1220,1327,1683,2014,58,131
19,A,A,1687,1770,1667,1661,1655,1540,61,142
19,C,B,633,675,601,516,553,642,72,256
19,J,B,226,253,252,270,236,266,24,42
19,J,B,123,170,232,279,283,301,19,20
19,W,B,12,14,19,10,8,13,7,6
20,A,C,9,18,19,33,57,89,12,13
20,G,C,1145,1206,1387,1699,1907,2077,62,172
20,M,B,3615,3438,3472,3345,3222,3118,117,255
20,N,B,1135,1221,1396,1717,2267,2343,51,98
20,H,C,987,1042,995,1305,1314,1240,70,293
20,C,C,270,345,209,314,358,383,48,212
20,M,C,358,680,1140,1608,2213,2651,53,108
20,T,B,193,346,577,734,917,1083,35,63
20,M,C,100,92,108,129,129,117,13,17
20,K,C,671,765,901,1205,1371,1356,44,79
