univ_rank,first_initial,last_initial,cit_2017,cit_2018,cit_2019,cit_2020,cit_2021,cit_2022,h_index,i_10_index
1,A,B,255,261,277,288,371,401,19,23
1,C,D,323,503,583,718,750,898,26,45
1,I,C,4088,4262,4721,5072,5768,6552,79,192
1,A,A,1099,1010,851,725,710,656,74,207
1,P,A,422,804,1103,1349,1560,1743,30,44
1,M,A,887,1270,2047,2591,2844,3055,59,103
1,S,A,1123,1219,1396,1456,1492,1410,74,169
1,A,C,329,377,406,367,415,435,31,50
1,R,B,880,718,798,922,756,754,51,103
1,M,C,280,279,520,914,1363,1672,28,40
2,D,P,874,962,1097,1360,1692,1664,71,247
2,A,S,14,20,44,40,53,100,11,12
2,F,V,2972,4832,5535,6529,7348,7255,48,67
2,M,W,26,26,48,57,87,96,11,12
2,S,K,1750,2204,2646,3493,4571,5179,89,176
2,D,A,29,113,299,429,558,707,18,20
2,J,W,209,197,229,206,202,202,33,58
2,N,A,2265,2775,3492,4718,5759,6211,19,23
2,S,G,90,137,171,171,180,195,15,17
2,V,R,839,900,870,1030,1273,1736,45,117
3,S,A,90,108,115,99,94,66,5,5
3,N,A,60,83,127,175,261,352,22,30
3,J,B,283,356,468,650,1097,1754,36,76
3,A,B,51,58,70,107,173,172,15,18
3,E,B,398,545,809,1092,1721,2254,49,120
3,C,F,706,1671,3166,5181,7540,10224,70,141
3,K,F,301,319,509,488,554,616,35,61
3,M,B,4375,6356,7916,8779,10021,10870,61,133
3,M,G,294,313,292,270,192,232,45,101
3,Z,D,706,951,1186,1263,1407,1237,30,40
4,C,B,856,942,921,1009,1007,1145,66,150
4,J,B,1,4,11,36,60,84,10,10
4,J,B,1551,1631,1438,1528,1593,1752,86,311
4,A,B,1532,1623,1696,1643,1844,1993,65,226
4,V,A,367,343,395,327,287,278,49,111
4,P,B,2073,2439,3161,3817,4515,4779,83,222
4,A C,A,887,1131,1295,1435,1566,1736,57,138
4,M,A,666,807,800,750,850,849,55,168
4,G K,A,27,55,103,185,278,340,16,19
4,P,A,3989,8160,12623,17157,22422,26211,148,363
5,H,G,202,286,427,433,390,481,30,43
5,G,H,81,90,134,128,128,140,9,9
5,D,F,167,205,296,398,478,421,32,60
5,A,C,18,26,43,47,107,114,12,12
5,R,C,93,66,85,130,127,130,15,16
5,A,E,285,329,298,329,379,392,28,45
5,A,E,26,54,79,161,308,366,16,18
5,M,C,168,201,265,371,527,645,33,51
5,Y,C,273,358,534,629,930,1079,36,58
5,R,H,0,0,16,117,237,362,12,13
6,R,A,2255,2160,2045,1954,1841,1887,94,239
6,R,B,2263,2586,2784,2696,2900,2976,73,299
6,Y,B,461,559,643,678,835,741,32,46
6,K,D,921,1293,1913,2342,3113,3416,83,213
6,D,C,790,900,1036,1208,1277,1286,28,44
6,P,C,50,169,196,438,702,932,19,30
6,S,A,309,342,347,390,384,379,33,55
6,O,B,94,174,298,451,631,824,28,51
6,S,D,619,552,608,467,481,433,51,114
6,J,D,178,156,148,126,128,152,21,31
7,R,A,189,220,311,417,427,442,26,36
7,M,A,45,65,96,87,222,282,17,23
7,D,B,303,321,346,440,491,627,31,56
7,C,B,237,230,188,222,265,234,26,45
7,S,B,150,198,288,297,343,440,23,40
7,J,A,141,183,283,369,452,458,29,53
7,S,A,245,311,348,404,416,428,28,45
7,Y,A,280,472,700,999,1585,2128,33,48
7,L,A,661,694,805,713,735,625,56,96
7,K,B,843,989,1223,1123,1115,1226,51,95
8,W,E,1832,1738,1734,1745,1779,1763,62,101
8,T,V,282,365,352,498,576,656,34,68
8,U,C,198,228,258,211,239,274,30,42
8,Z,K,110,118,124,139,182,176,17,24
8,S,P,903,851,821,834,684,662,68,117
8,S,A,1202,1587,1605,1914,2506,3374,75,211
8,A,B,279,332,356,368,410,365,32,53
8,K,V,111,117,147,153,173,180,18,34
8,T,J,3683,3654,3561,3279,3186,3169,18,34
8,A,W,868,850,861,835,983,1088,56,123
9,T,F,22,17,27,16,46,50,9,9
9,S,K,425,587,791,1048,1280,1518,32,53
9,C,P,953,1227,1461,1589,1651,1380,43,72
9,Y,C,133,165,220,210,246,220,19,28
9,A,C,51,104,274,920,1979,2920,28,44
9,D,R,7,26,54,90,94,154,13,14
9,B,F,31,79,210,322,343,445,15,19
9,A,K,22,30,79,185,274,334,12,12
9,Y,D,0,0,18,71,128,312,15,20
9,T,K,141,178,205,296,273,324,25,40
10,A,G,462,579,608,725,654,604,52,181
10,T,G,4188,4600,4714,6021,4984,5811,108,337
10,M,F,1695,1561,1473,1459,1404,1328,58,102
10,Z,D,171,166,168,145,159,238,23,37
10,B,C,1094,898,799,876,722,823,78,161
10,A,F,800,841,951,941,1064,1103,58,102
10,A,A,611,615,664,671,664,59,132,132
10,R,A,2060,3267,4410,5532,6501,6662,61,130
10,S,A,1587,1986,2506,2949,3268,3695,73,136
10,D,A,388,440,352,294,332,251,46,90
