univ_rank,first_initial,last_initial,cit_2017,cit_2018,cit_2019,cit_2020,cit_2021,cit_2022,h_index,i_10_index
61,S,B,239,291,298,360,447,397,15,17
61,C,F,811,774,677,514,562,431,55,107
61,J,F,262,279,264,215,208,217,10,10
61,D,F,53,54,148,151,280,344,15,16
61,L,G,8,35,200,437,560,741,8,7
61,L,H,57,46,52,56,62,29,12,16
61,J,D,703,717,677,717,639,636,40,63
61,V,C,11,24,50,89,135,126,11,12
61,H,L,47,75,131,174,238,297,19,29
61,L,K,33,31,46,39,56,74,8,8
62,P,W,38,73,126,211,312,422,24,55
62,C,P,37,46,84,90,179,192,17,33
62,T,W,862,899,843,706,658,509,39,64
62,R,S,108,97,115,133,109,141,25,54
62,P,V,144,99,97,169,140,103,26,41
62,A,Y,102,102,86,146,144,129,16,25
62,H,H,197,274,361,319,372,356,31,56
62,Y,A,146,306,418,463,628,596,26,36
62,S,M,151,192,240,292,287,344,28,47
62,A,A,286,305,296,294,295,421,27,45
63,J,D,23,28,23,24,20,19,11,13
63,G,C,45,51,47,52,31,36,13,15
63,S,H,100,76,93,110,111,96,11,11
63,H,W,756,915,965,1039,993,945,51,154
63,E,P,1056,1099,1024,1056,1077,1117,43,81
63,F,Z,27,18,28,44,37,30,15,18
63,M,G,114,125,130,197,178,195,24,39
63,W,C,378,376,467,487,656,632,38,65
63,A,L,168,169,156,173,148,109,26,42
63,P,N,11,22,12,25,23,43,10,11
64,A,B,32,0,52,3,23,42,6,5
64,S,A,54,0,31,3,55,9,12,14
64,C,A,756,272,113,83,150,56,34,54
64,K,B,101,94,1,9,28,2,37,78
64,J,A,20,37,31,10,210,30,46,93
64,J,B,31,176,0,54,59,14,20,25
64,M,B,95,4,77,130,40,51,22,30
64,P,D,98,29,36,3,24,2,22,34
64,D,D,1721,2942,836,1074,156,6902,36,62
64,M,A,0,26,63,69,94,69,11,13
65,R,C,484,489,616,635,626,588,40,77
65,V,S,16,25,49,77,69,91,10,10
65,R,J,924,948,1015,950,850,734,53,109
65,S,H,121,114,111,117,120,130,24,45
65,F,D,149,163,137,126,124,89,14,18
65,L,C,169,210,261,291,398,404,31,60
65,A,C,64,59,51,42,47,27,19,34
65,J,B,5,13,22,42,76,96,5,5
65,J,F,560,556,475,483,461,418,47,85
65,M,A,2,5,23,29,27,60,6,5
66,A,O,491,459,442,485,455,426,35,88
66,B,M,850,1213,1473,1693,1804,1953,59,155
66,A,H,289,205,220,224,228,196,34,81
66,Y,D,79,91,93,103,77,81,18,37
66,N,S,79,79,87,80,97,86,15,19
66,H,C,4,11,13,33,27,43,7,6
66,V,S,373,376,453,466,459,467,20,32
66,P,S,37,33,45,90,163,171,15,20
66,D,C,27,36,18,16,7,9,9,8
66,G,S,213,202,143,138,157,111,25,39
67,H,G,305,304,269,240,211,231,33,61
67,M,A,835,809,695,575,519,403,26,42
67,X,B,209,315,344,394,424,424,31,54
67,D,L,114,117,121,156,209,229,21,28
67,S,M,52,73,71,85,118,103,12,12
67,M,P,535,572,584,585,583,695,46,100
67,M,F,515,603,640,569,577,605,27,44
67,N,B,194,213,208,262,268,294,24,44
67,S,B,224,248,326,285,351,540,29,54
67,R,C,165,145,121,152,115,143,21,31
68,S,B,187,126,111,136,76,80,29,74
68,Y,J,77,64,104,111,91,106,19,44
68,H,G,0,26,145,342,614,794,13,16
68,O,E,181,133,132,113,78,88,29,53
68,M,C,613,716,585,492,531,414,44,79
68,G,C,390,346,375,246,253,193,46,103
68,Y,C,168,134,145,141,114,129,25,40
68,P,A,90,88,99,96,108,95,18,34
68,R,L,120,129,122,87,94,93,32,75
68,S ,C,56,69,50,54,44,44,15,18
69,F,V,379,360,321,309,282,297,57,160
69,S,L,"1,502",1648,1771,1776,1786,1640,58,109
69,H,Y,937,1038,1027,1033,1151,1146,43,75
69,M,F,1251,1061,994,908,836,782,65,158
69,E,S,37,38,67,85,90,132,14,16
69,Z,C,253,295,366,422,573,728,42,94
69,Q,Z,57,78,83,115,82,92,12,12
69,P,B,291,393,409,335,342,352,34,95
69,A,M,88,88,71,123,83,102,16,23
69,R,G,643,548,590,584,589,443,66,223
70,J,M,63,48,43,41,37,53,9,9
70,S,P,98,117,73,134,62,71,22,41
70,A,B,934,985,1086,1272,1298,1279,46,77
70,N,B,70,67,86,103,107,153,16,18
70,E,D,17,33,25,30,46,57,10,11
70,A,J,157,147,153,106,145,124,32,121
70,S,G,212,155,130,108,123,129,34,78
70,N,K,44,56,53,74,60,115,12,15
70,C,A,516,534,510,625,614,638,44,92
70,Y,M,299,337,405,307,257,260,45,105
