univ_rank,first_initial,last_initial,cit_2017,cit_2018,cit_2019,cit_2020,cit_2021,cit_2022,h_index,i_10_index
91,K,C,295,220,217,214,205,170,32,63
91,A,G,30,43,50,21,34,31,15,27
91,Z,H,8,14,9,19,42,65,9,9
91,D,G,1012,1256,1452,1611,1788,1729,67,232
91,R,K,44,83,80,117,146,110,14,20
91,S,K,103,176,214,285,274,297,25,55
91,J,L,51,39,35,40,58,83,12,15
91,A,M,1,18,31,72,109,141,10,11
91,M,A,26,22,29,67,129,131,11,13
91,S,C,163,204,247,282,381,332,15,24
92,F,A ,82,141,162,197,292,288,9,9
92,S,F,45,42,45,50,56,63,18,29
92,K,F,122,111,127,110,119,118,20,20
92,J,H,102,169,314,555,825,1150,40,111
92,C,H,112,150,139,168,162,167,24,47
92,P,J,503,783,951,1069,1126,989,37,86
92,V,N,25,39,52,77,102,95,10,11
92,S,N,283,285,253,232,185,162,32,60
92,J,B,69,69,78,54,54,51,16,23
92,C,F,77,66,66,54,73,78,20,31
93,Y,S,433,470,475,501,593,674,42,117
93,M,A,85,78,104,134,188,191,21,36
93,D,A,355,470,390,524,530,473,31,100
93,G,B,15,15,40,23,36,24,12,12
93,P,C,132,171,245,339,409,457,30,87
93,A ,B,7,13,8,5,33,48,8,6
93,R,C,94,87,82,70,75,84,18,35
93,J,C,1292,1337,1712,1814,2191,2124,61,170
93,S,I,237,292,324,357,334,328,33,91
93,J,G,23,16,23,33,30,37,16,28
94,R,M,278,488,577,615,713,627,25,45
94,G,S,228,252,216,271,228,225,28,76
94,L,B,344,417,459,460,452,473,34,89
94,W,Z,54,40,90,141,186,186,16,24
94,P,G,33,52,104,106,111,105,10,12
94,X,W,56,118,151,147,162,174,11,12
94,K,M,89,274,238,300,362,439,26,38
94,C,Z,417,401,394,355,288,311,35,74
94,M,H,30,40,45,25,22,25,19,26
94,G,L,337,368,245,239,350,314,51,122
95,R,F,40,64,70,94,123,106,10,11
95,Z,D,214,397,581,818,1154,1585,44,100
95,J,H,270,309,275,261,282,303,25,34
95,N,M,164,241,350,438,522,625,32,71
95,R,M,48,59,87,107,132,117,16,22
95,J,M,144,198,200,219,303,311,23,37
95,B,S,55,38,43,51,61,45,14,16
95,C,W,255,300,268,325,378,294,30,57
95,Z,H,123,112,134,129,124,109,19,33
95,A,C,540,579,583,612,608,544,35,56
96,D,M,36,23,31,27,28,20,6,5
96,S,O,428,438,414,525,901,1241,38,124
96,G,M,195,166,119,106,99,89,15,17
96,E,K,41,81,103,115,123,167,16,20
96,J,J,349,316,326,363,364,417,35,92
96,C,G,61,57,58,74,62,66,11,13
96,V,G,70,70,101,124,153,263,16,20
96,Y,C,330,353,437,460,541,483,38,75
96,M,B,1,2,7,9,9,5,3,2
96,D,B,156,167,176,200,175,194,38,80
97,P,M,358,292,227,245,323,275,28,52
97,X,L,27,36,46,38,67,83,10,10
97,S,K,119,120,126,146,191,212,17,24
97,T,H,12,22,62,107,203,190,13,15
97,M,G,143,171,173,123,166,152,17,26
97,E,D,269,268,273,222,228,227,20,36
97,D,D,34,19,13,18,8,12,18,26
97,T,B,1,6,24,43,28,36,7,7
97,D,N,142,142,99,85,98,82,33,62
97,N,M,1,8,9,37,94,116,10,10
98,S,A,70,63,110,130,144,164,14,18
98,A,A,80,74,79,60,53,48,11,12
98,J,B,64,93,117,127,126,142,13,18
98,N,B,50,54,68,61,60,49,19,37
98,A,C,290,294,325,331,295,309,23,32
98,H,H,80,92,135,103,116,99,14,16
98,N,W,80,120,190,249,282,264,19,22
98,D,L,1,1,1,3,1,1,1,0
98,I,V,38,52,36,35,58,83,11,13
98,D,W,72,83,157,288,478,804,18,26
99,S,L,72,59,76,71,55,49,19,29
99,D,S,475,403,379,329,426,358,37,74
99,J,S,145,174,215,253,133,174,29,59
99,G,R,235,209,177,113,111,59,46,126
99,A,M,738,1077,1279,1245,1258,1245,37,59
99,M,L,130,108,102,128,131,122,18,29
99,T,E,66,79,50,62,52,62,14,22
99,L,B,461,427,408,431,371,324,34,54
99,P,B,204,237,202,161,138,89,28,52
99,A,B,7,16,19,15,32,29,7,5
100,C,B,340,340,325,261,234,232,31,71
100,F,S,465,489,472,434,459,424,46,117
100,G,W,344,319,356,415,464,530,29,54
100,C,G,564,538,396,451,416,369,60,123
100,C,L,595,532,437,363,368,356,39,82
100,A,M,162,180,164,137,157,126,33,111
100,M,N,73,84,60,93,65,99,23,48
100,L,N,653,624,575,519,419,400,36,62
100,B,S,304,332,289,290,310,323,49,106
100,Y,P,356,350,190,352,207,192,42,128
