univ_rank,first_initial,last_initial,cit_2017,cit_2018,cit_2019,cit_2020,cit_2021,cit_2022,h_index,i_10_index
51,I,P,38,102,159,245,277,381,16,24
51,S,M,153,333,510,749,963,1048,31,59
51,A,B,5524,8950,12526,14204,16734,17508,60,88
51,W,H,161,183,206,215,179,262,22,33
51,F,N,70,96,88,133,157,156,16,24
51,M,I,238,386,641,602,1025,1249,41,110
51,R,F,41,115,210,312,473,554,15,21
51,S,J,54,72,113,139,144,141,9,9
51,S,Z,135,92,160,184,238,332,24,34
51,J,Z,1678,2066,2635,3253,4319,4125,23,30
52,E,G,151,147,156,152,169,167,31,85
52,M,C,85,121,202,264,376,383,28,65
52,W,E,1375,1264,1038,998,947,784,37,65
52,A,D,183,286,356,395,449,490,22,31
52,R,C,89,128,103,109,108,103,20,39
52,V,C,19,22,52,116,172,188,13,21
52,T,B,503,463,584,722,945,893,46,163
52,W,A,47,82,98,128,178,346,17,35
52,K,A,139,125,84,80,74,47,16,24
52,S,H,205,201,220,210,202,187,21,29
53,M,C,97,248,577,1459,2499,3233,40,70
53,K,P,130,128,99,114,211,364,30,73
53,V,P,70,63,110,130,144,164,14,18
53,D,S,50,54,68,61,60,49,19,37
53,O,S,290,294,325,331,295,309,23,32
53,M,O,644,609,596,498,534,479,56,143
53,U,V,193,179,165,130,127,136,29,60
53,G,S,299,269,340,204,288,260,37,98
53,S,W,715,717,801,961,1330,1421,39,76
53,Z,W,301,313,371,464,475,448,28,38
54,K,B,535,458,382,437,394,606,45,89
54,S,K,716,758,725,770,924,626,60,167
54,J,K,163,169,124,109,144,132,26,44
54,K,J,72,98,137,220,243,227,16,20
54,A,E,287,243,285,240,257,219,44,72
54,S,D,373,389,348,310,314,256,43,104
54,L,C,42,81,109,136,174,196,19,26
54,E,B,77,102,112,161,213,236,18,29
54,J,L,229,257,299,311,324,368,26,43
54,E,R,828,834,647,716,675,640,57,98
55,B,U,3,11,20,35,36,37,8,7
55,C,S,317,365,315,357,299,316,28,35
55,J,T,150,265,279,266,317,351,26,47
55,G,Y,188,167,129,149,182,131,24,47
55,N,G,155,212,301,614,787,906,30,66
55,N,S,667,674,643,603,610,648,25,50
55,K,N,1562,1720,1939,2445,2971,3084,50,83
55,O,F,732,719,726,794,808,823,60,233
55,E,R,29,87,222,384,639,863,31,49
55,S,B,69,197,305,375,534,576,16,19
56,A,E,825,958,1008,1075,1206,1204,55,136
56,A,B,90,146,173,247,290,324,24,36
56,M,K,314,287,416,577,696,655,33,104
56,T,I,1487,1396,1398,1182,1132,1134,55,99
56,S,A,73,152,211,260,304,328,24,39
56,K,B,496,556,623,781,810,947,44,115
56,M,F,613,623,653,774,809,736,56,104
56,M,A,57,88,66,103,125,162,16,22
56,Y,H,23,46,58,65,80,80,11,11
56,X,F,19,24,31,44,46,44,9,9
57,T,D,10,47,52,144,206,265,18,23
57,C,W,21,20,15,20,17,6,12,16
57,G,Y,185,253,302,493,617,611,25,46
57,J,X,250,285,299,283,240,227,32,65
57,R,W,46,50,60,115,151,139,17,31
57,B,R,293,232,303,298,334,308,39,149
57,C,P,109,85,107,100,109,91,25,48
57,C,M,179,225,262,273,327,343,23,44
57,X,J,1373,1371,1247,1146,1163,1118,30,42
57,M,H,460,433,323,333,312,285,41,119
58,M,J,353,355,472,641,832,1245,40,81
58,A,C,66,126,185,238,281,324,23,47
58,S,J,136,128,166,208,287,443,22,32
58,T,J,308,366,362,358,367,454,30,48
58,F,K,184,222,309,288,369,367,21,40
58,S,M,179,270,314,380,556,698,30,50
58,C,M,314,391,396,378,644,747,31,49
58,R,M,84,81,102,99,109,156,20,36
58,M,N,311,366,431,543,616,815,39,119
58,D,C,467,596,583,524,480,359,34,69
59,Z,T,63,97,114,137,149,197,14,18
59,C,S,247,228,282,215,198,184,30,52
59,D,G,126,140,146,100,105,106,36,80
59,A,K,595,550,481,506,454,523,47,82
59,M,H,1915,2154,2410,2534,2799,2912,82,156
59,G,B,45,59,39,55,68,52,21,41
59,F,E,84,68,84,82,70,82,21,27
59,H,T,1224,1136,1107,1200,1374,1290,57,144
59,Y,Y,1906,1887,2106,2096,2326,2108,39,65
59,L,X,93,117,129,110,169,207,17,21
60,P,G,76,113,113,100,117,141,30,56
60,M,P,371,375,364,292,392,413,36,104
60,M,G,385,425,388,295,336,273,33,75
60,J,E,530,489,441,331,277,232,21,24
60,B,D,158,166,168,161,193,156,34,85
60,N,P,12,30,28,45,42,102,13,15
60,A,C,6,9,11,21,29,37,7,5
60,U,B,137,139,118,81,107,88,19,30
60,A,K,211,207,160,202,226,213,27,60
60,D,C,88,124,140,147,222,189,13,17
